e11,e22,e12,s11,s22,s12,timestep,simulation_id
0.0058941,-0.000856313,-0.00209606,587.538,250.569,-52.3151,31.0,9245
0.00610434,-0.000894602,-0.00217327,606.491,258.652,-54.0027,32.0,9245
0.00633478,-0.000943607,-0.00226013,625.443,266.735,-55.6903,33.0,9245
0.00659737,-0.00100965,-0.00236232,644.396,274.818,-57.3779,34.0,9245
0.00690763,-0.00110096,-0.00248726,663.349,282.901,-59.0655,35.0,9245
0.00728466,-0.00122763,-0.00264405,682.302,290.984,-60.753,36.0,9245
0.00775085,-0.00140147,-0.00284337,701.255,299.066,-62.4406,37.0,9245
0.00833113,-0.00163562,-0.00309708,720.208,307.149,-64.1282,38.0,9245
0.00905183,-0.00194391,-0.00341771,739.16,315.232,-65.8158,39.0,9245
0.00993906,-0.00234001,-0.00381768,758.113,323.315,-67.5034,40.0,9245
0.0110168,-0.00283645,-0.00430839,777.066,331.398,-69.191,41.0,9245
0.012305,-0.00344351,-0.00489924,796.019,339.481,-70.8785,42.0,9245
0.0138172,-0.0041682,-0.00559666,814.972,347.564,-72.5661,43.0,9245
0.0155588,-0.00501329,-0.00640325,833.925,355.647,-74.2537,44.0,9245
0.0175262,-0.00597666,-0.00731716,852.877,363.729,-75.9413,45.0,9245
0.0197055,-0.00705094,-0.00833178,871.83,371.812,-77.6289,46.0,9245
0.0220726,-0.00822354,-0.00943569,890.783,379.895,-79.3165,47.0,9245
0.0245944,-0.00947703,-0.0106131,909.736,387.978,-81.004,48.0,9245
0.0272294,-0.0107899,-0.0118443,928.689,396.061,-82.6916,49.0,9245
0.0299308,-0.0121374,-0.0131071,947.642,404.144,-84.3792,50.0,9245
0.029741,-0.01211,-0.0130397,928.689,396.061,-82.6916,51.0,9245
0.0295513,-0.0120826,-0.0129723,909.736,387.978,-81.004,52.0,9245
0.0293616,-0.0120552,-0.0129049,890.783,379.895,-79.3165,53.0,9245
0.0291719,-0.0120278,-0.0128374,871.83,371.812,-77.6289,54.0,9245
0.0289822,-0.0120004,-0.01277,852.877,363.729,-75.9413,55.0,9245
0.0287925,-0.011973,-0.0127026,833.925,355.647,-74.2537,56.0,9245
0.0286028,-0.0119456,-0.0126352,814.972,347.564,-72.5661,57.0,9245
0.028413,-0.0119182,-0.0125678,796.019,339.481,-70.8785,58.0,9245
0.0282233,-0.0118908,-0.0125004,777.066,331.398,-69.191,59.0,9245
0.0280336,-0.0118634,-0.0124329,758.113,323.315,-67.5034,60.0,9245
0.0278439,-0.011836,-0.0123655,739.16,315.232,-65.8158,61.0,9245
0.0276542,-0.0118086,-0.0122981,720.208,307.149,-64.1282,62.0,9245
0.0274645,-0.0117812,-0.0122307,701.255,299.066,-62.4406,63.0,9245
0.0272748,-0.0117538,-0.0121633,682.302,290.984,-60.753,64.0,9245
0.027085,-0.0117264,-0.0120959,663.349,282.901,-59.0655,65.0,9245
0.0268953,-0.011699,-0.0120285,644.396,274.818,-57.3779,66.0,9245
0.0267056,-0.0116716,-0.011961,625.443,266.735,-55.6903,67.0,9245
0.0265159,-0.0116442,-0.0118936,606.491,258.652,-54.0027,68.0,9245
0.0263262,-0.0116168,-0.0118262,587.538,250.569,-52.3151,69.0,9245
0.0261365,-0.0115894,-0.0117588,568.585,242.486,-50.6275,70.0,9245
0.0259468,-0.011562,-0.0116914,549.632,234.403,-48.9399,71.0,9245
0.025757,-0.0115346,-0.011624,530.679,226.321,-47.2524,72.0,9245
0.0255673,-0.0115072,-0.0115565,511.726,218.238,-45.5648,73.0,9245
0.0253776,-0.0114798,-0.0114891,492.774,210.155,-43.8772,74.0,9245
0.0251879,-0.0114524,-0.0114217,473.821,202.072,-42.1896,75.0,9245
0.0228755,-0.0103071,-0.0103434,454.868,193.989,-40.502,76.0,9245
0.0202282,-0.00898539,-0.00910565,435.915,185.906,-38.8144,77.0,9245
0.0176877,-0.00771995,-0.00791875,416.962,177.823,-37.1269,78.0,9245
0.0152962,-0.006533,-0.00680282,398.009,169.74,-35.4393,79.0,9245
0.0130884,-0.00544277,-0.00577435,379.057,161.658,-33.7517,80.0,9245
0.0110896,-0.00446262,-0.00484542,360.104,153.575,-32.0641,81.0,9245
0.00931528,-0.00360068,-0.00402337,341.151,145.492,-30.3765,82.0,9245
0.00777068,-0.00285973,-0.00331074,322.198,137.409,-28.6889,83.0,9245
0.00645162,-0.00223756,-0.0027055,303.245,129.326,-27.0013,84.0,9245
0.00534563,-0.0017276,-0.00220174,284.292,121.243,-25.3138,85.0,9245
0.00443372,-0.00131985,-0.0017904,265.34,113.16,-23.6262,86.0,9245
0.0036924,-0.00100195,-0.0014603,246.387,105.077,-21.9386,87.0,9245
0.00309574,-0.000760231,-0.00119909,227.434,96.9945,-20.251,88.0,9245
0.00261727,-0.000580756,-0.000994162,208.481,88.9116,-18.5634,89.0,9245
0.00223152,-0.000450113,-0.000833392,189.528,80.8288,-16.8758,90.0,9245
0.00191513,-0.000355995,-0.000705648,170.575,72.7459,-15.1883,91.0,9245
0.00164754,-0.000287584,-0.00060115,151.623,64.663,-13.5007,92.0,9245
0.00141178,-0.000235934,-0.000511807,132.67,56.5801,-11.8131,93.0,9245
0.00119517,-0.000194366,-0.000431582,113.717,48.4973,-10.1255,94.0,9245
0.000989425,-0.000158522,-0.000356532,94.7641,40.4144,-8.43792,95.0,9245
0.000789745,-0.000125872,-0.000284371,75.8113,32.3315,-6.75034,96.0,9245
0.000593517,-9.50403e-05,-0.000213853,56.8585,24.2486,-5.06275,97.0,9245
0.000399332,-6.52848e-05,-0.000144309,37.9057,16.1658,-3.37517,98.0,9245
0.000206415,-3.61967e-05,-7.53685e-05,18.9528,8.08288,-1.68758,99.0,9245
1.43196e-05,-7.5414e-06,-6.81926e-06,-1.66997e-06,8.79482e-07,3.97635e-07,100.0,9245
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.000170238,-0.000161881,-0.000314041,-19.9348,-19.5164,-7.86126,1.0,8317
-0.000340477,-0.000323762,-0.000628081,-39.8697,-39.0329,-15.7225,2.0,8317
-0.000510715,-0.000485643,-0.000942122,-59.8045,-58.5493,-23.5838,3.0,8317
-0.000680954,-0.000647524,-0.00125616,-79.7394,-78.0657,-31.445,4.0,8317
-0.000851192,-0.000809406,-0.0015702,-99.6742,-97.5822,-39.3063,5.0,8317
-0.00102143,-0.000971287,-0.00188424,-119.609,-117.099,-47.1676,6.0,8317
-0.00119167,-0.00113317,-0.00219828,-139.544,-136.615,-55.0288,7.0,8317
-0.00136191,-0.00129505,-0.00251233,-159.479,-156.131,-62.8901,8.0,8317
-0.00153215,-0.00145693,-0.00282637,-179.414,-175.648,-70.7513,9.0,8317
-0.00170244,-0.00161888,-0.00314046,-199.348,-195.164,-78.6126,10.0,8317
-0.00187633,-0.00178549,-0.00345837,-219.283,-214.681,-86.4739,11.0,8317
-0.00207859,-0.00198887,-0.00380543,-239.218,-234.197,-94.3351,12.0,8317
-0.00237897,-0.00232157,-0.00424275,-259.153,-253.714,-102.196,13.0,8317
-0.00290173,-0.00295746,-0.00483129,-279.088,-273.23,-110.058,14.0,8317
-0.00379571,-0.00412271,-0.00555051,-299.023,-292.747,-117.919,15.0,8317
-0.00515474,-0.00597703,-0.0062976,-318.958,-312.263,-125.78,16.0,8317
-0.00693367,-0.008467,-0.00699909,-338.892,-331.779,-133.641,17.0,8317
-0.00892991,-0.0112846,-0.00768404,-358.827,-351.296,-141.503,18.0,8317
-0.0108525,-0.0139791,-0.00843746,-378.762,-370.812,-149.364,19.0,8317
-0.0124407,-0.0161558,-0.00928862,-398.697,-390.329,-157.225,20.0,8317
-0.0135666,-0.0176411,-0.0101457,-418.632,-409.845,-165.086,21.0,8317
-0.0142615,-0.0185092,-0.0108643,-438.567,-429.362,-172.948,22.0,8317
-0.0146571,-0.0189677,-0.0113875,-458.501,-448.878,-180.809,23.0,8317
-0.0148975,-0.0192207,-0.0117726,-478.436,-468.394,-188.67,24.0,8317
-0.015084,-0.0194036,-0.0121037,-498.371,-487.911,-196.532,25.0,8317
-0.0152585,-0.0195711,-0.0124223,-518.306,-507.427,-204.393,26.0,8317
-0.0154304,-0.0197351,-0.0127381,-538.241,-526.944,-212.254,27.0,8317
-0.0156015,-0.019898,-0.013053,-558.176,-546.46,-220.115,28.0,8317
-0.0157722,-0.0200606,-0.0133675,-578.111,-565.977,-227.977,29.0,8317
-0.0159428,-0.0202228,-0.0136819,-598.045,-585.493,-235.838,30.0,8317
